id,repository,old_locator,new_locator,category
1,mattermost/mattermost,cy.get('#aria-context'),cy.get('#displayLanguage').within(($el),structural_break
2,mattermost/mattermost,cy.get('@ariaEl'),cy.get('@ariaEl').within(($el),structural_break
3,mattermost/mattermost,cy.get('@inputEl'),cy.get('@ariaEl').within(($el),structural_break
4,mattermost/mattermost,cy.get('@ariaEl'),cy.get('@ariaEl').within(($el),structural_break
5,mattermost/mattermost,cy.get('#generalSettings'),cy.get('#profileSettings'),structural_break
6,mattermost/mattermost,cy.get('.user-popover'),cy.get('.status-wrapper'),structural_break
7,mattermost/mattermost,cy.get('#user-profile-popover').within((),cy.get('.user-profile-popover').within((),structural_break
8,mattermost/mattermost,cy.get('#search-items-container').children('.search-item__container').eq(index),cy.get('.files-or-messages-panel').children('.search-item__container').eq(index),structural_break
9,mattermost/mattermost,cy.get('#search-items-container').children('.search-item__container').eq(index),cy.get('.files-or-messages-panel').children('.search-item__container').eq(index),structural_break
10,mattermost/mattermost,cy.get('.status-wrapper button').first(),cy.get('button.status-wrapper').first(),structural_break
11,mattermost/mattermost,cy.get('.sidebar-right-container'),cy.get('.sidebar-right-container').find('#rhsCloseButton'),structural_break
12,mattermost/mattermost,cy.get('#channelAddMembers'),cy.get('#channelInviteMembers'),structural_break
13,mattermost/mattermost,cy.get('#channelAddMembers'),cy.get('#channelInviteMembers'),structural_break
14,mattermost/mattermost,cy.get('#channelHeaderTitle'),cy.get('body'),structural_break
15,mattermost/mattermost,cy.get('#channelViewMembers button'),cy.get('#channelMembers'),structural_break
16,mattermost/mattermost,cy.get('#channel_view'),cy.get('body'),structural_break
17,mattermost/mattermost,cy.get('.no-results__wrapper'),cy.get('.search-item-snippet').first().contains(testArchivedMessage),structural_break
18,mattermost/mattermost,cy.get('.login-body-card-content'),cy.get('.login-body-card-title'),structural_break
19,mattermost/mattermost,cy.get('.Menu__content'),cy.get('#channelHeaderDropdownMenu'),structural_break
20,mattermost/mattermost,"cy.get('textarea[placeholder=""Edit the Channel Header...""]')",cy.get('#channel_settings_header_textbox'),structural_break
21,mattermost/mattermost,"cy.get('textarea[placeholder=""Edit the Channel Header...""]')",cy.get('#channel_settings_header_textbox'),structural_break
22,mattermost/mattermost,"cy.get('textarea[placeholder=""Edit the Channel Header...""]')",cy.get('#channel_settings_header_textbox'),structural_break
23,mattermost/mattermost,"cy.get(`[aria-label=""${channel.name.split('-')","cy.get(`[aria-label=""${channel.display_name.split('-')",structural_break
24,mattermost/mattermost,"cy.get('[aria-label=""channel menu""]')","cy.get(`[aria-label=""${channel.name.split('-')",structural_break
25,mattermost/mattermost,"cy.get('[aria-label=""edit the channel header...""]')","cy.get('textarea[placeholder=""Edit the Channel Header...""]')",structural_break
26,mattermost/mattermost,"cy.get('[aria-label=""edit the channel header...""]')","cy.get('textarea[placeholder=""Edit the Channel Header...""]')",structural_break
27,mattermost/mattermost,"cy.get('[aria-label=""edit the channel header...""]')","cy.get('textarea[placeholder=""Edit the Channel Header...""]')",structural_break
28,mattermost/mattermost,cy.get('.channel-notifications-settings-modal'),cy.get('.ChannelNotificationModal'),structural_break
29,mattermost/mattermost,cy.get('.channel-notifications-settings-modal'),cy.get('.ChannelNotificationModal'),structural_break
30,mattermost/mattermost,cy.get('#input_channel-settings-name'),cy.get('.url-input-container input'),structural_break
31,mattermost/mattermost,cy.get('#save-button'),cy.get('#input_channel-settings-name'),structural_break
32,mattermost/mattermost,cy.get('.has-error'),cy.get('.SaveChangesPanel'),structural_break
33,mattermost/mattermost,cy.get('#save-button'),cy.get('#input_channel-settings-name'),structural_break
34,mattermost/mattermost,cy.get('#channelHeaderDropdownIcon'),cy.get('#channelHeaderTitle'),structural_break
